term document_frequency
cfo 5
domicil 4
standalon 3
tax-tim 1
commbin 1
insecur 8
deepli 54
leeri 1
barney' 4
shao 3
wang 119
$38-3/4 1
3-1/8 4
auchard 8
newsdesk 168
212-859-1736 32
counterweight 4
12,000 45
$39.125 2
$39 12
$61 6
end-to-end 15
one-stop 22
'cisco 2
dwarfs' 2
blachno 6
invok 5
industi 3
frank 82
dzubeck 6
viabil 20
preced 54
mega-merg 15
bay-wellfleet-synopt 3
robotics-3com 2
cowel 4
broadest 7
feature-rich 2
deploy 13
1976 30
windowless 1
workroom 1
sportster 1
courier 4
craze 2
bride 3
amar 2
senan 2
volp 9
welti 8
humbl 5
analogu 18
formid 20
x2 2
commodor 3
$1,000 15
ka-band 1
drain 23
frequenc 40
two-wai 9
geostationari 1
orbit 15
transmiss 70
high-spe 44
morgenstern 1
satellite-bas 1
voicespan 1
reassign 5
co.' 33
spacenet 1
apertur 1
skynet 1
loral 5
commmun 4
milion 2
undersea 4
$850 3
intelsat 5
hyper-growth 1
asynchron 4
mode 9
atm 12
newer 23
quantifi 12
sequenti 25
relai 4
telecom 245
23-1/8 2
$0.24 2
penni 35
$0.10 13
lag 76
divsion 3
don 41
peterson 7
$5.15 4
division' 12
$174 3
lucent' 4
23.3 7
$2.93 3
14.1 10
18.3 7
$615 2
quarter' 21
taiwan 218
philippin 83
42.1 3
45.9 1
39.9 3
$1.26 5
cordless 9
cord 2
profit-tak 56
54-7/8 1
$59.125 2
buck 28
harshli 8
take-und 3
swartz 3
$3.06 2
$55.06 2
$5.375 4
$57 3
$30.125 4
3com-robot 3
shiva 6
sat 25
doghous 3
$15.875 2
$19.375 2
ant 14
harmon 11
dim 9
chassi 10
realm 16
automated-tel 2
dispens 7
card-bas 7
pc-base 5
fischer 2
floppi 12
disk 34
credit-card 8
streetsid 2
groceri 36
stimulu 5
teller 14
what' 59
'bridge' 2
battaglia 2
smarti 2
computer' 4
3.5-inch 1
reader 17
patent 35
inch 39
loos 23
full-scal 15
checkbook 4
varieti 77
burton 11
fischer' 2
intuit 12
borough 3
mastercard 4
cititbank 1
fargo 8
pilot 68
visa 25
u.k.-bas 5
mondex 5
sweden' 20
telia 5
microchip 8
byte 6
magnetic-strip 2
addison 2
rsa 3
encrypt 41
gemplu 2
schlumberg 2
verifon 9
siemen 23
netherland 50
bulki 3
standalone-termin 2
$80 30
office-ori 1
$7.3-billion-merg 1
fully-dilut 1
robotics' 5
interfac 20
nic 3
officeconnect 1
repackag 5
router 4
500-strong 1
horn 13
explos 74
confin 15
shirt 7
pocket 60
shirt-pocket 1
subscrib 137
megabit 3
telco 7
dial-up 2
wan 5
connection: 1
fifti 10
miscellan 1
lan 4
mileston 24
trans-atlant 10
concert 71
$40.6 2
brussel 28
wilk 2
barr 7
quiet 39
hometown 10
mcgowan 3
washington-bas 22
bert 12
seamless 15
customer' 16
premis 16
bypass 21
interconnect 33
metro 17
aggres 2
cash-rich 40
slice 46
incumb 22
metropolitan 52
$66 5
high-technolog 22
$4.58 2
quarter-over-quart 3
schacht 1
microelectron 13
$1.308 1
decreas 36
reengin 1
$54.125 2
cushion 13
pre-announc 5
sanjai 4
kumar 7
ca' 5
year-on-year 86
$1.05 18
$1.00 7
$67 4
mid 25
$40' 1
maker' 10
on-go 13
client-serv 2
mainframe-ori 1
brunt 10
downturn 66
client/serv 4
$0.75 7
$0.60 5
cheyenn 4
company-sponsor 2
chat 25
service' 6
360 19
$3.75 7
$43.75 2
aol 38
pittman 7
oak 24
usag 48
interact 62
14,000 24
rotat 8
romanc 3
nike 6
johnson 50
daytim 6
rosi 17
o'donnell' 2
16,000 15
tel-sav 4
subcrib 6
mid-april 10
mitsui 11
company; 1
nihon 11
keizai 9
shimbun 11
nikkei 14
text-bas 1
nifty-serv 1
million-memb 3
license 10
columbu 16
compuserv 22
pcvan 1
fujitsu 5
asciinet 1
ascii 1
980 3
yen 106
hours' 1
480 18
hourli 59
japan' 178
10-hour 2
newcom 16
wash.-bas 24
msn 7
nippon 55
krasilovski 8
antiqu 12
arlen 19
bethesda 15
md 19
5.7 18
member-to-memb 1
two-third 55
dial 15
600,000 30
bay' 2
internet-bas 13
invis 4
networld+interop 1
semiannu 2
well-develop 1
internet-optim 1
tomorrow 38
exactli 60
application-specif 1
rsp 1
laboratori 42
bottleneck 6
congest 23
overload 7
tenfold 3
$5,000 10
revolut 107
evangelist 2
semiconductor-driven 1
exponenti 6
commodity-styl 1
wavephor 2
arizona 18
wavetop 2
phoenix-bas 6
sidestep 11
clog 10
overstrain 2
beautifulli 4
sandi 13
wavephore' 2
breed 30
webtv 9
set-top 22
stereo 6
music 69
audio 32
broadcast-readi 2
tuner 2
$99 11
advertiser-support 2
pay-per-us 2
transmit 32
feedback 11
surf 17
wire 49
250 73
unus 8
joel 6
krasner 2
southcoast 2
fiber 13
optic 23
jazz 7
kidstop 2
pb 2
slimmed-down 6
embrac 51
$9 41
bellsouth 33
$1.13 5
$13.05 2
$1.36 10
$12.85 3
street' 30
guidanc 38
klugman 19
driven 113
0.6 17
$11.51 2
$6.06 6
atlanta-bas 14
$693 2
$626 7
$344 3
page 16
bellsouth' 6
consecut 56
ackerman 2
379,000 2
359,000 2
milllion 8
3.8 20
76 34
blister 12
vogel 7
caller 27
$39.875 2
$32.875 1
portend 3
reingold 3
steepli 7
$33 11
secular 4
expec 1
brosseau 3
ibm' 46
trimm 1
$4.55 1
calendar 91
12-month 17
mortensen 1
'what' 3
days?' 1
supris 4
sanjiv 1
hingorani 1
$640 4
unreal 1
mip 6
commment 1
encount 14
grill 10
$515.6 1
11.0 4
$464.7 1
$1.17 9
$1.06 9
$1.16 2
$3.4 11
$3.2 24
flanneri 5
second-lin 1
raymond 21
counter-attack 2
cost-control 1
atlantic' 5
7.6 7
proportion 9
non-cash 8
$142.1 1
comnpani 1
$606.8 1
$60.25 1
iusacel 1
talegen 1
$450 16
$426 1
$379 3
$5.08 1
$4.76 2
$59.50 3
$46 8
enderlin 1
stamford 5
conn.-bas 5
$2.7 5
kohlberg 11
kravi 11
piecem 6
talegen' 1
coregi 1
color 9
black-and-whit 3
synonym 4
allair 1
divestitur 11
indemn 4
chicago-bas 38
casualti 41
certifi 20
appris 1
jersey-bas 2
andersen 17
$1.21 6
$472 12
$17.38 1
$16.59 1
faith 31
psc 2
discrimin 14
local-servic 1
outspoken 28
11.1 13
regulators' 1
marchand 1
vacco' 1
mf 22
worldcom 24
inc.; 6
teleport 4
winstar 1
other' 39
agress 7
telesi 24
gte 31
minnesota 16
iowa 27
corp/nynex 1
perman 63
n.y 25
capitol 17
tommorrow' 1
anti-trust 7
subpeona 1
mahonei 1
effic 4
refund 16
$908 2
rai 22
commission 46
duleavi 1
long-critic 1
two-zon 1
nypsc 1
est/1500 2
63-3/8 1
47-3/8 1
head-to-head 6
analog 7
aground 2
architect 62
stream 70
organiz 6
switchboard-lik 1
isp 7
score 77
dening 1
broadview 3
dealmak 1
local-area 1
wide-area 2
analayst 5
lie 21
archriv 23
backbon 23
stratacom 1
daunt 6
outrun 1
amaz 18
3com/robot 1
rescu 47
$7.3-billion 1
8-k 1
32-13/16 1
19/64 1
tandem 15
down 10
55-3/8 2
7/16 2
collar 4
six-point 1
$57-27/64 1
disatisfact 1
mid-level 4
usrx 1
said: 168
1-3/8 4
54-1/4 1
xylan 1
pummel 2
shy 23
sell-off 54
7-5/8 2
20-7/8 1
echo 90
$0.76 4
65-1/2 1
3-3/4 3
58-1/4 2
10-point 1
retreat 30
officials' 3
tug 4
$0.50 8
whisper 10
$0.52 5
jitteri 12
rocket-lik 2
65-1/4 1
nasdaq' 5
xylan' 1
build-up 11
quarer 2
$0.11 6
$0.12 4
accumul 32
sampl 46
giant' 22
sony.com 1
company-promot 1
symbolis 13
espn 4
cannold 1
clip 17
visitor 32
topic 38
back-stag 1
stationpass 1
token 7
pager 13
jeopardi 4
wheel 19
battleground 7
multiplay 1
futurist 10
warzon 1
merchandis 42
columbia 39
tristar 2
cd 21
boosk 1
engross 1
opera 21
mariah 1
carei 3
u.s.a 9
visa' 4
venu 25
lauch 6
marqui 1
sear 27
roebuck 22
colgat 1
palmol 1
reciproc 5
users' 7
pop-up 5
click 9
18-to-34-year-old 1
demograph 21
$0.51 8
ago' 1
$0.32 5
one-to-on 4
book-to-bil 6
q3 9
73 35
year-to-year 6
percent-growth 1
bellac 2
$2.10 4
bellace' 1
$2.80 2
$2.60 4
allevi 14
lighten 10
tar 6
cascade' 2
mishap 3
3-5/8 6
65-1/8 2
3-1/2 18
74-1/2 1
toilet 4
clung 2
68-3/8 1
8.39 1
314.53 1
2.60 3
345 4
annouc 7
compabl 1
adversari 4
hurtl 1
price-to-earn 6
residu 7
whack 2
nervou 43
sky 45
fallback 4
stamped 9
behavior 8
inspir 33
guilt 8
rocket 39
infrastrucur 2
sky-high 8
paislei 1
strategist 38
bleier 2
instinet 1
$58.50 1
$58.125 1
side-step 1
point-to-multi-point 1
pointcast 8
web-bas 5
heap 16
raft 20
61-1/4 1
68-1/4 1
35-1/2 2
2-1/8 6
4-3/8 5
30-1/2 5
morgan' 4
acqusit 19
9/16 1
15-13/16 1
1/8 10
19-3/8 1
levi 41
sweeter 5
nose-d 6
$5.875 3
$17.325 1
$63.6 1
$1.38 11
$183.6 2
vlsi' 2
marcow 2
$167.7 3
c.b 3
hancock 7
sgs-thomson 10
compass 2
kurlak 5
gregrori 2
hincklei 2
mentor 19
vsli 2
bala 2
iyer 2
asic 1
chipset 4
q1 9
6-3/8 2
16-7/8 1
1453 1
est/1953 1
est/1800 1
$0.17 5
$1.20 2
friday: 3
42.2 1
41.5 2
$0.20 12
out-of-the-wai 5
agenda: 1
sprint 90
nomine 17
bonfield 14
telecom' 22
member; 1
colin 24
marshal 21
confeder 14
keith 21
oat 19
spencer 18
extraordinari 78
wemblei 2
stadium 17
2-for-1 1
cosmet 6
'ibm 2
healed,' 2
nomura 63
ri 6
impecc 5
bounc 28
$150.75 1
accompani 55
nomura' 32
helmig 13
$3.93 7
1.875 3
750 8
presplit 1
$295 1
8.7 25
$4.9 12
bt 129
$653 1
6.4 70
doug 28
discount-seek 1
insul 7
low-end 11
bett 11
massick 12
whichev 4
networkmci 1
$433 3
$37.375 2
spain' 17
telefonica 12
telecom-mci 3
camp 94
ball 18
deatherag 4
$0.69 4
$0.90 7
espana 9
telefonica' 6
spanish 20
unisourc 15
colo.-bas 5
$328 5
$289 3
mccormick 3
midwestern 9
dampen 55
$2.54 1
$2.44 2
allan 30
spi 9
$2.59 2
$2.46 3
$1.23 13
unprecend 2
47,000 6
$33.25 1
game-plan 1
faster-grow 5
joseph 78
marengi 3
novell' 6
netwar 8
2002 31
platform-independ 1
non-netwar 1
internet-rel 6
client/server-bas 1
globe 33
client/network 1
reporter' 5
displac 11
cc:mail 1
fend 35
department 5
nt' 1
re-doubl 1
wordperfect 10
canada' 215
corel 10
tie 33
hoard 16
telesend 1
isdn 3
dsl 1
idsl 1
stein 1
technology-ori 1
three-and-a-half 4
voicemail 7
telesend' 1
switchboard 2
local-loop 1
128,000 1
kieran 1
telechoic 14
citibank 40
individual' 9
publicly-held 2
floppy-insert 1
short-rang 2
prototyp 18
do-it-yourself 16
checkout 4
shopper 23
check-out 2
scan 6
lane 5
cashier 1
in-stor 3
self-checkout 1
175,000 7
cashier-assist 1
world-lead 5
origan 1
regist 95
dayton 34
self-servic 1
bar-cod 1
scanner 13
scot 1
play 1
developl 1
dunde 1
debit 7
grocer 4
front-end 6
two-for-on 9
luster 2
25-point 1
coincid 56
oversold 5
thing: 3
solly' 1
jones' 4
dow' 4
84 10
30-stock 1
window-dress 4
post-split 1
subtl 7
flirt 4
selloff 18
lofti 8
170 21
salli 7
katzen 2
congression 58
slacker 2
alarm 48
committee' 24
sub-committe 2
staffer 12
viru 42
emmett 2
paig 2
horn' 2
chequ 7
inund 3
complaint 65
earliest 38
inspect 47
airplan 35
worrisom 5
faa 8
powers-k 2
faa' 2
reprogramm 1
$371 2
$218 3
navi 28
$90 39
defence-rel 2
$291 5
spender 3
$319 2
encod 26
report' 11
valid 24
kenneth 37
dam 11
clinton 159
unread 23
password 25
decod 34
terrorist 33
hacker 10
may' 5
nrc 1
reliabl 38
cato 1
escrow 5
monster 7
ir 13
snoop 2
conced 60
enforc 72
202-898-8312 30
alan 62
greenspan 20
lawmak 94
carmak 20
60-year-old 8
rubin 15
administration' 31
crumbl 11
uniform 38
steagal 2
1933 11
trampl 5
citizens' 7
cyberspac 28
affirm 12
devolv 3
democraci 193
non-profit 20
cart 8
blanch 1
undersecretari 13
reinsch 10
state 77
occass 2
mandatori 16
simmer 10
gut 5
republican 86
blilei 3
fbi 20
stifl 18
ill-conceiv 2
parenti 2
piraci 37
grove 13
gore 23
dalei 1
statis 1
$102.8 1
619,000 1
$36.4 1
indirectli 20
19890 1
intellectu 46
evad 26
cat' 2
schmidt 6
sedat 19
virtu 12
exceed 89
procter 9
fasb 1
sen 31
faircloth 4
subcommitte 30
sec' 1
christoph 81
dodd 3
connecticut 5
democrat 283
municip 34
interestingli 3
gramm 13
wallman 2
unpreced 40
non-bind 7
quash 11
market-sensit 1
aaron 7
pressman 4
mistakenli 2
erron 9
miscalcul 4
alfons 6
d'amato 7
comptrol 11
interag 2
compliant 4
ludwig 3
rollov 1
nichola 37
retsina 1
reprogram 8
ketcha 1
agency' 9
shaw 17
petrou 4
isd/shaw 4
glass-steagal 13
1929 6
diminish 26
glass-steagall' 2
profound 18
life-support 2
systems; 2
larocco 3
congressman 8
leach 28
r.-iowa 2
rep 25
gonzalez 12
jeopard 5
hoc 6
luck 10
non-financi 17
baltimore-bas 2
$1.7 23
afoul 3
newman 9
forma 10
fed 46
firewal 5
faircloth' 2
hyland 2
underwritten 20
commut 24
leesburg 1
pike 6
yard 22
arteri 3
internet' 25
brim 2
demis 29
overcrowd 14
luker 1
scienc 85
foundation' 1
interchang 3
mae 2
busiest 21
counterpart 71
nsf 3
fibr 26
brute 1
cach 2
multicast 1
repetit 3
hagen 2
commonli 11
immatur 6
hal 5
varian 1
california' 8
others' 4
surfer 6
sinha 1
sun' 30
solari 4
matrix 1
austin 5
matrix' 1
4,500 7
weekdai 10
similiar 23
encryption' 1
survelli 1
freeh 4
geni 4
ludicr 2
goodlatt 7
judiciari 19
englund 1
domain 13
freer 9
one' 17
button 12
crystallis 6
undecid 6
crowel 4
envoi 22
rotenberg 2
non-custom 3
surcharg 27
advocaci 17
$1.15 7
old-fashion 8
goug 2
edmund 4
mierzwinski 3
mastercard' 2
cirru 5
inhibit 11
17,000 14
higer 2
free-market 9
aba 3
random 14
88 29
viginia 2
woefulli 2
jackson 15
pair 19
19th 16
second-term 2
forefront 18
reserve' 6
congressmen 8
commend 2
non-whit 1
$125,000 2
gender 2
represent 25
garner 10
strictli 27
56-bit 2
65,000 14
freedom 150
agencies' 1
adminstration' 2
taher 1
elgam 1
shabbir 1
safdar 1
co-sponsor 15
libertarian 8
liberti 89
further 4
offenc 30
goodlatte' 5
unintend 1
signer 2
cybercash 7
digex 1
obstruct 15
depression-era 8
blur 11
adamantli 5
intertwin 5
overseen 11
underwrit 82
top-level 24
burrington 2
prais 65
plan' 4
craft 52
saleabl 4
worldnet 14
unenthusiast 3
org 4
arbitr 23
mediat 21
computer-mak 2
uunet 11
herndon 7
registr 33
jointli 67
spoent 1
set-up 9
registri 14
christop 1
clough 2
karl 8
denning 1
mcsnet 1
wallet 12
president' 27
eckert 1
government 10
intrus 10
medium-strength 2
recovery...not 1
emphas 9
submit 112
rejigg 1
kim 37
willard 1
toymak 8
hasbro 8
candyland.com 4
adult 37
nude 4
self-govern 9
fullest 6
donald 51
heath 11
persuad 67
defin 76
adminstr 12
cerf 4
arthur 41
telag 3
registrar 4
chao 35
solution' 2
geneva 23
upstag 4
torn 8
farther 10
specter 12
sarban 3
maryland 13
basket 68
mean 38
bill' 7
compromis 75
unrestrict 6
feloni 4
delahunt 2
harter 5
jonah 4
seiger 4
hyde 6
stored-valu 1
tranfer 3
evalu 55
arbitrarili 5
outweigh 15
fed' 9
mistaken 8
bennett 5
inact 3
fledgl 29
utah 13
jung 1
killen 1
break-out 2
2001 55
meter 5
blink 2
rarefi 2
glacial 1
poll 177
one-fourth 3
begin 1
222 5
caucu 15
flurri 38
kennedi 16
peal 1
anna 7
eshoo 1
encompass 13
http://www-eshoo.house.gov 1
pat 9
leahi 10
vermont 5
transcript 6
http://www.senate.gov/leahi 1
leahy' 1
newsgroup 2
mann 1
weissman 1
http://www.house.gov/whit 1
citizen' 1
empower 3
obscen 6
http://www.ciec.org 1
coalition' 10
elector 36
ruskin 1
assort 2
homeown 7
unneccessari 2
resist 74
michel 20
meier 1
downpay 4
suzann 2
hutchinson 1
precaut 9
ncua 3
cope 49
d'amato' 1
catastroph 18
endang 12
well-b 3
routin 37
coyn 1
scope 73
skirt 6
decrypt 2
russian-mad 3
cryptographi 8
large-scal 22
overburden 1
3.72 3
delinqu 4
3.34 2
conjunct 15
bankruptic 1
soundess 1
chargeoff 2
$220 2
comptroller' 3
remind 44
chessen 1
tick 18
1.42 3
1.29 3
1.41 1
2.03 3
1.95 4
marg 9
roukema 8
vento 2
louisiana 14
nuanc 1
chase' 1
sight 67
chase-salomon 1
percentage-bas 1
experiment 19
215 11
atm' 1
suddenli 32
cost-effect 13
double-dip 1
prolifer 46
yingl 1
shutter 6
international' 6
usa' 1
fifteen 4
gao 5
$1.14 9
kroener 1
symposium 3
lump 13
fdic 3
ricki 1
helfer 1
risk-bas 2
christin 12
cum 3
supervison 1
analag 1
default 33
creditmetr 1
blyth 1
kick-start 6
dialogu 47
risk-driven 1
clinton' 29
gibbon 1
sooth 8
internet2 1
fanfar 14
presidenti 73
realloc 7
rural 56
'next 1
elizabeth 14
gaston 1
sponsorship 9
cutting-edg 3
strawn 1
nsf' 1
diffus 1
peddler 2
arpanet 1
mid-1980 16
bbn 3
335,073 1
266,149 1
non-partisan 1
321,000 1
petit 25
samuel 14
gerdano 1
advanta 2
punch 9
issuer 7
hawaii 6
unsecur 2
repaid 13
refut 5
crone 1
brobeck 1
$20,000 6
$17,000 2
mark-up 2
pro-cod 2
war-era 1
munit 9
statut 18
vis-a-vi 3
gregori 19
garcia 5
conrad 17
burn 74
montana 9
bipartisan 5
victor 18
parra 1
mathemat 8
exon 1
nebraska 6
pressler 1
operatiobn 1
boundri 1
irrevers 1
greenspan' 6
evolut 16
ardent 4
enorm 70
roukema' 4
mad 14
volcker 2
tangl 15
hottest 21
word-for-word 1
longtim 9
bereut 1
volcker' 1
unlimit 48
meaning 19
asking: 2
endeavor 2
i'd 39
heinmann 1
foremost 5
act' 1
contenti 31
duck 20
sidetrack 1
propon 13
chairperson 1
tack 5
nonfinanci 3
$100,000 12
redraft 1
runkel 1
department' 15
overrul 3
instanc 54
threaten 261
pratt 12
controversei 3
sprout 2
puzzl 9
climo 1
woofi 1
bank-lik 3
kerrei 3
deadlock 23
senator' 1
105th 4
rubin' 2
tantamount 8
surrend 21
institution' 3
baby-step 1
unsurprisingli 2
lightn 8
obstacl 60
non-bank 45
somebody' 5
twist 38
exce 80
marsh 9
mclennan 8
precipit 14
defici 12
exchequ 9
substant 7
long-need 1
griffin 1
rip-off 1
nonbank 1
non-permit 1
do-abl 2
standpoint 15
kyl 1
kerri 34
cia 5
max 7
baucu 1
naomi 1
seligman 1
kerry' 2
boorman 1
imf' 2
1994-95 1
peso 20
countries' 3
citizenship 16
http://dsbb.imf.org 1
fund' 9
dissemin 5
denmark 10
finland 5
malaysia 66
norwai 28
slovenia 9
croatia 5
hungari 31
poland 42
africa 93
sweden 28
turkei 18
austria 12
belgium 22
iceland 1
israel 14
lithuania 1
mclenaghan 1
imf 9
jostl 7
india 63
february' 6
state-run 70
gic 1
lic 1
nationalis 5
1956 2
1972 16
hostag 19
inder 1
gujral 1
forg 64
malhotra 1
foothold 27
hindustan 1
kk 1
birla 1
eagl 27
accid 44
bombay-bas 1
wadia 1
guardian 14
peerless 1
sk 1
modi 1
dcm 1
shriram 1
hamstr 2
decision-mak 18
unfound 9
misguid 2
penetr 45
$407 5
0.612 5
lloyd' 26
beset 15
300-year 4
rowland 11
first-rat 1
alik 11
inherit 22
'reconstruct 4
renewal' 4
r&amp;r 5
$970 1
whilst 9
uncollect 4
sandler 4
post-reconstruct 1
solvenc 8
486.4 1
corporation' 3
239 1
292 6
sedgwick 8
sizeabl 27
herro 1
mauric 3
saatchi 1
cordiant 1
oakmark 1
revolt 15
boardroom 17
quicken 17
127.5 1
113 4
herro' 1
boat 26
aon 8
swiftli 22
aon' 2
bain 8
hogg 6
inchcap 4
jib 5
thompson 18
jardin 39
britains' 1
willi 13
corroon 9
strand 23
brush 31
sax 11
rilei 4
95.5 1
$155.2 1
marri 17
advic 52
obsess 14
1.01 7
1993' 5
1.08 4
near-disastr 5
sink 25
satisfactori 32
sharpen 8
reinsur 22
equita 11
plank 9
problemat 7
0.610 5
boundari 8
chancellor 27
multi-ti 2
inves 4
sib 16
remit 9
typifi 2
bewar 1
practition 1
suitabl 40
pia 4
wrongli 8
occup 65
underlin 51
21st 39
norwich 13
pre-float 1
290 18
265 7
5.6 26
mammoth 6
bridgewat 3
766,000 1
members' 21
claw 20
tempt 29
cash-in 1
bridewat 1
280 17
340 14
bookmak 4
353 2
floatat 1
minimum 132
durat 14
240 19
demutualis 16
leceist 3
predat 42
probabl 28
pre-1993 7
10.4 21
$17 33
newbig 1
green 73
'signific 1
uncertainties' 1
accuraci 11
reinsurers' 1
'materi 1
degree' 1
588 7
qualif 5
jane 4
barker 1
equitas' 2
exposur 77
11.2 4
880 2
long-tail 1
notori 24
run-off 17
dig 14
party' 74
32.5 6
discusss 1
usher 20
mid-70 3
34,000 9
10.3 19
marlborough 2
names' 8
scotland' 4
telephone-bas 3
irration 3
$13.1 4
mathewson 4
26.5 7
in-forc 2
line' 4
chippendal 4
exception 7
irrat 7
82 27
308 3
1.27 6
819,000 2
370 12
20-year 12
duguid 1
hidden 33
abrupt 9
reconfirm 4
350,000 22
$568,000 1
recognit 60
safe 52
actuari 9
adequaci 14
compulsori 10
in-lin 7
$2,270 1
2,170 2
ig 1
695-705 1
17-1/2 4
415 33
'floor' 1
660 5
670 22
index' 4
hetherington 2
scarciti 3
45.7 3
$74.7 1
48.1 2
4.4 16
184.2 1
144 4
overnight 53
disproportion 12
mclennan' 1
privately-own 10
market-plac 2
weather-rel 5
nav 8
$184.8 1
hudson 31
unrealis 10
723 4
958 1
prolong 22
static 11
3.2 23
aa 6
subsid 18
253 3
133 8
135 19
0.616 8
james' 1
jra 1
pru' 9
weinberg 1
clientel 1
net-worth 2
jra' 1
st.jame 1
neat 1
hat-trick 1
dunbar 9
wilson 41
39.6 2
30.5 6
118.8 1
29.9 5
eleg 3
intermedi 42
simplif 1
shelv 31
25.1 6
family' 11
13.8 10
tobacco-to-insur 1
cairn 10
occasion 13
b.a.t' 10
broughton 7
factual 4
hodg 3
591 2
522-1/2 1
266 2
142 2
163 8
re-emphasis 1
363 6
closur 67
167 9
america-pacif 1
17.5 15
$4.7 10
stirl 6
circular 14
gavin 2
manger 2
sociti 1
550 14
1,450 2
go-ahead 21
poilcyhold 1
1.005 1
1.084 1
aset 1
oldest 23
10.898 1
1.008 1
$1.55 5
$1.71 8
0.606 3
198nd 1
billion-pound 2
$980 2
much-sharpen 1
$164 3
102 8
$166.4 2
83 13
13-1/2 4
736p 1
67 48
milder 3
notif 21
societ 43
d'epargn 1
viager 1
sev 2
long-stand 23
forese 35
welfar 31
open-mind 3
foster 28
czech 294
uncertain 46
four-pag 2
insolv 20
sanguin 10
$198.4 2
wiser 1
unqualifi 5
compound 70
unaudit 4
quantif 2
unstuck 1
berriman 2
8,000 18
abi 6
pep 4
non-taxpai 1
boleat 1
undu 4
take-up 11
individui 1
abolit 14
non-lif 10
anbd 1
regress 1
hardest 31
tne 1
poorer 18
7717 67
$654,000 1
public' 12
banner 38
mis-sold 1
speedili 5
missel 2
ultimatum 3
570,000 2
12,650 2
14:02:56 1
nflluit1af 1
hierachi 2
$571,000 2
opw 2
ppr 2
onward 12
alm 6
hiscox 3
anew 4
anachronist 4
absurd 9
$409,000 1
auspic 15
self-regul 4
1986 41
git 1
overview 1
now-rul 1
run-up 58
'watch 1
brief' 1
7,100 3
mack 3
rationalis 43
116 10
279 5
76.3 2
emphasi 44
clients' 3
came 2
549.3 1
430 17
'orphan 2
assets' 1
11-1/2 5
485-1/2 1
371.3 1
193.5 1
15.5 19
busin 4
chargeabl 1
11,000 2
settlememnt 1
co-op 7
cw 2
ambiti 83
31-year-old 1
regan 2
satisfact 15
saga 38
regan' 2
convolut 1
lanica 2
$16.2 2
68.2 1
galileo 2
optician 4
chemist 4
parlour 4
irish 14
j.sainsburi 1
hobson 4
hambro 15
traver 4
braithwait 1
ditch 15
o'clock 3
$163.5 1
redund 27
homer 4
'market 1
orientation' 1
customer-focus 1
cross-funct 1
team-bas 1
pre-emin 4
cee 1
schrauwer 1
windshield 2
autoglass 1
liverpool 24
bristol 8
southampton 6
norwich' 3
ceil 22
succes 6
mini-prospectu 2
0.604 2
queu 5
insuffici 27
335 6
clawback 1
provision 106
non-memb 4
330 10
booklet 1
c.e 3
$163.7 1
143 3
day' 28
non-execut 27
pdfm 2
glare 9
people...ther 1
tricki 5
vitim 1
disciplinari 16
missold 2
mirror 38
50,300 1
$165.4 1
illus 10
foot-drag 4
guilti 58
offend 13
helen 6
liddel 1
quickest 1
cu 4
coffin 6
question-mark 2
shrunk 5
entrepreneuri 11
simpler 11
angerstein 2
mumford 1
coffei 2
stace 2
wellington 4
ac 16
chartwel 1
angu 2
sladen 1
cu' 2
convict 65
blenheim 7
43.5 3
eman 4
sedgwick' 1
pound' 5
130-1/2 1
tie-up 20
nobl 11
lownd 4
fee-bas 5
harden 9
lessen 11
fee-earn 1
outsourc 39
nikol 1
$981,000 1
relist 4
19-1/2 2
137 5
lanica' 1
unreserv 1
apolog 13
prosecut 29
adjourn 17
381,045 1
578,456 1
trust' 2
importantli 18
self-regulatori 3
sro 3
day-to-dai 19
surveyor 4
north-south 4
6-1/4 3
7.25 1
mira 1
north/south 3
$64,700 1
tessa 1
carter 9
10-1/2 6
739 1
568 2
manufacturers' 7
coverag 63
hazard 12
scrutinis 8
health-rel 1
robustli 2
twenty-fifth 1
attorney-gener 1
co-defend 4
tobbaco 3
1954 7
silent 22
industries' 2
lip 12
embarrass 45
no-on 14
343 2
certainti 9
submiss 12
lcca 1
con 6
117 7
$190 6
indirect 25
multi-year 6
antoni 1
hayn 6
apportion 1
secondli 6
blueprint 15
mute 14
7-1/2 4
482 3
195 7
$320.6 1
driest 1
socgen 14
annualis 7
retent 11
outgo 20
out-of 2
threw 27
admir 13
vulnerabilti 2
3.1 31
management' 13
spars 7
21,000 8
1.85 4
capital' 13
beween 3
resound 7
unequivoc 4
bridegewat 1
giveawi 1
entail 8
emot 31
undilut 1
scoottish 1
questionmark 3
continet 1
aegon 5
allianz 3
overtaken 12
sequest 3
council' 16
discharg 11
hardcastl 1
bylaw 2
wholli 21
subscript 48
14-member 1
prescrib 8
barbican 1
opra 1
mogul 20
maxwel 5
brighton 4
carolin 3
johnston 6
naiv 3
recurr 12
compli 26
truste 11
wrongdo 21
disqualifi 1
injunct 23
pragmat 34
merit...and 1
small-mistak 1
dishonesti 2
tip-off 1
hotlin 3
0.609 1
syndicates' 1
trap 17
rew 1
chatset 1
name-own 1
re-insur 1
orphan 4
$972,000 1
prospectu 18
'stamp 1
capacity' 1
bearish 28
china' 797
swirl 45
shanghai 228
sme 7
beij 701
prop-up 1
sme' 1
23,800 2
$2,867 1
24,320 1
nonferr 4
cniec 5
hold-up 5
lme 36
arbitrag 17
